name,type,mana_cost,power,toughness,rarity,colors,text
Aetherize,Instant,{3}{U},,,uncommon,U,Return all attacking creatures to their owner's hand.
Brineborn Cutthroat,Creature — Merfolk Pirate,{1}{U},2,1,uncommon,U,"Flash (You may cast this spell any time you could cast an instant.)
Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on this creature."
Essence Scatter,Instant,{1}{U},,,uncommon,U,Counter target creature spell.
Extravagant Replication,Enchantment,{4}{U}{U},,,rare,U,"At the beginning of your upkeep, create a token that's a copy of another target nonland permanent you control."
Fleeting Distraction,Instant,{U},,,common,U,"Target creature gets -1/-0 until end of turn.
Draw a card."
Imprisoned in the Moon,Enchantment — Aura,{2}{U},,,uncommon,U,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities."
Lightshell Duo,Creature — Rat Otter,{3}{U},3,4,common,U,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Micromancer,Creature — Human Wizard,{3}{U},3,3,uncommon,U,"When this creature enters, you may search your library for an instant or sorcery card with mana value 1, reveal it, put it into your hand, then shuffle."
Mocking Sprite,Creature — Faerie Rogue,{2}{U},2,1,common,U,"Flying
Instant and sorcery spells you cast cost {1} less to cast."
An Offer You Can't Refuse,Instant,{U},,,uncommon,U,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")"
Omniscience,Enchantment,{7}{U}{U}{U},,,mythic,U,You may cast spells from your hand without paying their mana costs.
Run Away Together,Instant,{1}{U},,,common,U,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.
Self-Reflection,Sorcery,{4}{U}{U},,,uncommon,U,"Create a token that's a copy of target creature you control.
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Spectral Sailor,Creature — Spirit Pirate,{U},1,1,uncommon,U,"Flash (You may cast this spell any time you could cast an instant.)
Flying
{3}{U}: Draw a card."
Think Twice,Instant,{1}{U},,,common,U,"Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Time Stop,Instant,{4}{U}{U},,,rare,U,"End the turn. (Exile all spells and abilities, including this spell. The player whose turn it is discards down to their maximum hand size. Damage heals and ""this turn"" and ""until end of turn"" effects end.)"
Tolarian Terror,Creature — Serpent,{6}{U},5,5,common,U,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
Witness Protection,Enchantment — Aura,{U},,,common,U,"Enchant creature
Enchanted creature loses all abilities and is a green and white Citizen creature with base power and toughness 1/1 named Legitimate Businessperson. (It loses all other colors, card types, creature types, and names.)"
Bake into a Pie,Instant,{2}{B}{B},,,common,B,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")"
Burglar Rat,Creature — Rat,{1}{B},1,1,common,B,"When this creature enters, each opponent discards a card."
Diregraf Ghoul,Creature — Zombie,{B},2,2,uncommon,B,This creature enters tapped.
Eaten Alive,Sorcery,{B},,,common,B,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker."
Exsanguinate,Sorcery,{X}{B}{B},,,uncommon,B,Each opponent loses X life. You gain life equal to the life lost this way.
Fake Your Own Death,Instant,{1}{B},,,common,B,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Hero's Downfall,Instant,{1}{B}{B},,,uncommon,B,Destroy target creature or planeswalker.
"Liliana, Dreadhorde General",Legendary Planeswalker — Liliana,{4}{B}{B},,,mythic,B,"Whenever a creature you control dies, draw a card.
[+1]: Create a 2/2 black Zombie creature token.
[−4]: Each player sacrifices two creatures of their choice.
[−9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest."
Macabre Waltz,Sorcery,{1}{B},,,common,B,"Return up to two target creature cards from your graveyard to your hand, then discard a card."
Marauding Blight-Priest,Creature — Vampire Cleric,{2}{B},3,2,common,B,"Whenever you gain life, each opponent loses 1 life."
Painful Quandary,Enchantment,{3}{B}{B},,,rare,B,"Whenever an opponent casts a spell, that player loses 5 life unless they discard a card."
Phyrexian Arena,Enchantment,{1}{B}{B},,,rare,B,"At the beginning of your upkeep, you draw a card and you lose 1 life."
Pilfer,Sorcery,{1}{B},,,common,B,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
Reassembling Skeleton,Creature — Skeleton Warrior,{1}{B},1,1,uncommon,B,{1}{B}: Return this card from your graveyard to the battlefield tapped.
Rise of the Dark Realms,Sorcery,{7}{B}{B},,,mythic,B,Put all creature cards from all graveyards onto the battlefield under your control.
Rune-Scarred Demon,Creature — Demon,{5}{B}{B},6,6,rare,B,"Flying
When this creature enters, search your library for a card, put it into your hand, then shuffle."
Stromkirk Bloodthief,Creature — Vampire Rogue,{2}{B},2,2,uncommon,B,"At the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on target Vampire you control."
Vampire Nighthawk,Creature — Vampire Shaman,{1}{B}{B},2,3,uncommon,B,"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
Zombify,Sorcery,{3}{B},,,uncommon,B,Return target creature card from your graveyard to the battlefield.
Abrade,Instant,{1}{R},,,uncommon,R,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact."
Axgard Cavalry,Creature — Dwarf Berserker,{1}{R},2,2,common,R,{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.)
Brass's Bounty,Sorcery,{6}{R},,,rare,R,"For each land you control, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Brazen Scourge,Creature — Gremlin,{1}{R}{R},3,3,uncommon,R,Haste (This creature can attack and {T} as soon as it comes under your control.)
Burst Lightning,Instant,{R},,,common,R,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Burst Lightning deals 2 damage to any target. If this spell was kicked, it deals 4 damage instead."
"Drakuseth, Maw of Flames",Legendary Creature — Dragon,{4}{R}{R}{R},7,7,rare,R,"Flying
Whenever Drakuseth attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets."
"Etali, Primal Storm",Legendary Creature — Elder Dinosaur,{4}{R}{R},6,6,rare,R,"Whenever Etali attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs."
Fanatical Firebrand,Creature — Goblin Pirate,{R},1,1,common,R,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}, Sacrifice this creature: It deals 1 damage to any target."
Firebrand Archer,Creature — Human Archer,{1}{R},2,1,common,R,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent."
Firespitter Whelp,Creature — Dragon,{2}{R},2,2,uncommon,R,"Flying
Whenever you cast a noncreature or Dragon spell, this creature deals 1 damage to each opponent."
Flamewake Phoenix,Creature — Phoenix,{1}{R}{R},2,2,rare,R,"Flying, haste
This creature attacks each combat if able.
Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return this card from your graveyard to the battlefield."
Frenzied Goblin,Creature — Goblin Berserker,{R},1,1,uncommon,R,"Whenever this creature attacks, you may pay {R}. If you do, target creature can't block this turn."
Goblin Surprise,Instant,{2}{R},,,common,R,"Choose one —
• Creatures you control get +2/+0 until end of turn.
• Create two 1/1 red Goblin creature tokens."
Heartfire Immolator,Creature — Human Wizard,{1}{R},2,2,uncommon,R,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
{R}, Sacrifice this creature: It deals damage equal to its power to target creature or planeswalker."
Hidetsugu's Second Rite,Instant,{3}{R},,,uncommon,R,"If target player has exactly 10 life, Hidetsugu's Second Rite deals 10 damage to that player."
Involuntary Employment,Sorcery,{3}{R},,,common,R,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
"Krenko, Mob Boss",Legendary Creature — Goblin Warrior,{2}{R}{R},3,3,rare,R,"{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control."
Seismic Rupture,Sorcery,{2}{R},,,uncommon,R,Seismic Rupture deals 2 damage to each creature without flying.
Shivan Dragon,Creature — Dragon,{4}{R}{R},5,5,uncommon,R,"Flying
{R}: This creature gets +1/+0 until end of turn."
Slagstorm,Sorcery,{1}{R}{R},,,rare,R,"Choose one —
• Slagstorm deals 3 damage to each creature.
• Slagstorm deals 3 damage to each player."
Spitfire Lagac,Creature — Lizard,{3}{R},3,4,common,R,"Landfall — Whenever a land you control enters, this creature deals 1 damage to each opponent."
Sure Strike,Instant,{1}{R},,,common,R,Target creature gets +3/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
Thrill of Possibility,Instant,{1}{R},,,common,R,"As an additional cost to cast this spell, discard a card.
Draw two cards."
Affectionate Indrik,Creature — Beast,{5}{G},4,4,uncommon,G,"When this creature enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)"
Bite Down,Instant,{1}{G},,,common,G,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.
Blanchwood Armor,Enchantment — Aura,{2}{G},,,uncommon,G,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control."
Broken Wings,Instant,{2}{G},,,common,G,"Destroy target artifact, enchantment, or creature with flying."
Bushwhack,Sorcery,{G},,,common,G,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)"
Doubling Season,Enchantment,{4}{G},,,mythic,G,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.
If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead."
